Title,推噓數,Author,Url,Date
[心得] 2025小資懶人操作指數定期定額年報,20,BluePeak,https://www.ptt.cc/bbs/Stock/M.1766714695.A.C26.html,12/26
[心得] 2025年報，真小資總資產沒1千萬,36,ivan1209,https://www.ptt.cc/bbs/Stock/M.1766715704.A.DD5.html,12/26
[新聞] 輝達史上最大併購案！砸6300億收購晶片新,47,joanzkow,https://www.ptt.cc/bbs/Stock/M.1766625844.A.402.html,12/25
[請益] 討論0050vs0050連結基金,35,yangguang,https://www.ptt.cc/bbs/Stock/M.1766628161.A.3C9.html,12/25
[新聞] 美延後對中晶片加徵關稅　專家：顧及川,24,qazxc1156892,https://www.ptt.cc/bbs/Stock/M.1766628840.A.EE8.html,12/25
Re: [心得] 2025年報(只買正二),24,black0624,https://www.ptt.cc/bbs/Stock/M.1766631957.A.637.html,12/25
Re: [新聞] 蜜雪冰城在美首店落腳洛杉磯好萊塢 中國,3,hugh509,https://www.ptt.cc/bbs/Stock/M.1766635903.A.D73.html,12/25
[新聞] 89.9萬起！台灣鴻華先進「首款國產休旅,52,turndown4wat,https://www.ptt.cc/bbs/Stock/M.1766639253.A.AA3.html,12/25
[心得] 2025幼年股神年報,64,chopinmozart,https://www.ptt.cc/bbs/Stock/M.1766641995.A.3D7.html,12/25
[心得] 2025(原)歸零戶復出年報,22,GX90160SS,https://www.ptt.cc/bbs/Stock/M.1766643644.A.905.html,12/25
Re: [新聞] 蜜雪冰城在美首店落腳洛杉磯好萊塢 中國,14,obs11122,https://www.ptt.cc/bbs/Stock/M.1766645541.A.E2B.html,12/25
[心得] 2025年指數型股票投資年報(208萬資產),19,sdfsonic,https://www.ptt.cc/bbs/Stock/M.1766648349.A.DD6.html,12/25
Re: [標的] 元大金2885（百張分享）,22,sheisol,https://www.ptt.cc/bbs/Stock/M.1766650242.A.6D9.html,12/25
[心得] 2025年報(棄高股息投槓桿大盤),44,rfynw,https://www.ptt.cc/bbs/Stock/M.1766651596.A.5A0.html,12/25
[請益] 股票是不是研究越多越賺不到錢？,76,tonyparker18,https://www.ptt.cc/bbs/Stock/M.1766654858.A.865.html,12/25
[心得] 年報：反指標的逆襲,21,doubi,https://www.ptt.cc/bbs/Stock/M.1766656871.A.1C2.html,12/25
[心得] 小資2025年報,13,ohsexygirl,https://www.ptt.cc/bbs/Stock/M.1766661623.A.8BE.html,12/25
[新聞] 中國GDP吹牛被戳破! 美榮鼎智庫推算僅官,7,Su22,https://www.ptt.cc/bbs/Stock/M.1766662908.A.FDF.html,12/25
[心得] 年報～高股息真的沒有輸，哭死,16,bingoking,https://www.ptt.cc/bbs/Stock/M.1766663291.A.CE8.html,12/25
[心得] 平凡指數仔擇時 2025 年報,11,bear3,https://www.ptt.cc/bbs/Stock/M.1766664061.A.07F.html,12/25
[心得] 2025中資族偏冷門個股年報,34,liliumeow,https://www.ptt.cc/bbs/Stock/M.1766665862.A.892.html,12/25
[情報] 1224 上市櫃股票週轉率排行,0,steveisaman,https://www.ptt.cc/bbs/Stock/M.1766584196.A.9A8.html,12/24
Re: [心得] 我在2025當了一回少年股神,13,cleansing010,https://www.ptt.cc/bbs/Stock/M.1766586529.A.62D.html,12/24
[心得] 柳暗花明的2025年報,58,minazukimaya,https://www.ptt.cc/bbs/Stock/M.1766588042.A.1A6.html,12/24
[心得] 記憶體空頭？朱家泓的技術分析根本都不準,33,geofrania,https://www.ptt.cc/bbs/Stock/M.1766588583.A.9A3.html,12/24
[新聞] 蘋果執行長庫克斥資9432萬元購入Nike股票,27,hvariables,https://www.ptt.cc/bbs/Stock/M.1766589049.A.9DC.html,12/24
Re: [標的] TSMX 反彈多,7,rfynw,https://www.ptt.cc/bbs/Stock/M.1766589941.A.F06.html,12/24
[新聞] 標普：萬科長期主體信用降至「選擇性違約,3,Su22,https://www.ptt.cc/bbs/Stock/M.1766591861.A.E4B.html,12/24
Re: [心得] 記憶體空頭？朱家泓的技術分析根本都不準,5,fatb,https://www.ptt.cc/bbs/Stock/M.1766593216.A.CC1.html,12/25
[標的] 選一檔all in放到2026年底 - NVDA MU TSM AVGO,68,andylu1207,https://www.ptt.cc/bbs/Stock/M.1766593478.A.52B.html,12/25
Re: [心得] 朱家泓技術分析的東西根本都不準,1,merom,https://www.ptt.cc/bbs/Stock/M.1766594241.A.833.html,12/25
[新聞] 路透：輝達測試英特爾18A製程　但未繼續,23,qazxc1156892,https://www.ptt.cc/bbs/Stock/M.1766596576.A.D02.html,12/25
Re: [心得] 朱家泓技術分析的東西根本都不準,12,bons2,https://www.ptt.cc/bbs/Stock/M.1766598849.A.5C4.html,12/25
[心得] 投資績效計算表 1.1.3版,50,A1pha,https://www.ptt.cc/bbs/Stock/M.1766599556.A.25D.html,12/25
[請益] 請問營業員可以這樣做嗎？,77,kevin1017,https://www.ptt.cc/bbs/Stock/M.1766599997.A.196.html,12/25
Re: [新聞] 標普：萬科長期主體信用降至「選擇性違約,0,xross,https://www.ptt.cc/bbs/Stock/M.1766601349.A.ED7.html,12/25
[心得] 2025年報(只買正二),爆,askaa,https://www.ptt.cc/bbs/Stock/M.1766613101.A.5FF.html,12/25
"[心得] 2025年報(上半年TQQQ,下半年GOOG)",66,waitrop,https://www.ptt.cc/bbs/Stock/M.1766616809.A.C1C.html,12/25
[標的] 群聯 8299 To the moon 多,23,Redbeansauce,https://www.ptt.cc/bbs/Stock/M.1766618042.A.076.html,12/25
[新聞] 蜜雪冰城在美首店落腳洛杉磯好萊塢 中國,33,brbear,https://www.ptt.cc/bbs/Stock/M.1766620880.A.DA1.html,12/25
[心得] 2025投資收益分享,14,w901741,https://www.ptt.cc/bbs/Stock/M.1766625807.A.32A.html,12/25
[新聞] 貝森特：聯準會應改採通膨區間制 批小數,8,d8917936,https://www.ptt.cc/bbs/Stock/M.1766562331.A.0F3.html,12/24
[新聞] 73%民眾支持續辦新青安 葉凌棋：政府不宜,44,burlroof,https://www.ptt.cc/bbs/Stock/M.1766563714.A.EF5.html,12/24
[情報] 1224 上市外資買賣超排行,61,saber50116,https://www.ptt.cc/bbs/Stock/M.1766564292.A.81E.html,12/24
[新聞] 遠東新 今年營運與去年持平,17,ChanHoPark,https://www.ptt.cc/bbs/Stock/M.1766564405.A.305.html,12/24
[新聞] 37萬存股族等到！台企銀盤中填權息　8大,13,brbear,https://www.ptt.cc/bbs/Stock/M.1766566344.A.2DA.html,12/24
[情報] 1735 日勝化 達注意標準 11月自結 0.03,0,q1a1,https://www.ptt.cc/bbs/Stock/M.1766567019.A.EA4.html,12/24
[標的] 2408 南亞科 硬撐盤,51,ambrian,https://www.ptt.cc/bbs/Stock/M.1766568683.A.848.html,12/24
[新聞] TEL台灣子公司人事異動董座、總裁職務全換,7,DrowningPool,https://www.ptt.cc/bbs/Stock/M.1766568689.A.A60.html,12/24
"[情報] 8415 大國鋼 買大成鋼(母公司) 10,007張",11,q1a1,https://www.ptt.cc/bbs/Stock/M.1766568939.A.C0F.html,12/24
[新聞] 南韓官方出手干預！韓元擺脫16年新低 創,22,madeinheaven,https://www.ptt.cc/bbs/Stock/M.1766569558.A.00A.html,12/24
Re: [心得] 100%爆擊,爆,prokofieff,https://www.ptt.cc/bbs/Stock/M.1766570014.A.006.html,12/24
[請益] 三大法人買賣超的疑問,29,tw10390,https://www.ptt.cc/bbs/Stock/M.1766573864.A.771.html,12/24
Re: [新聞] 輝達帝國恐被谷歌打垮？Gemini 3太強引,61,empliu,https://www.ptt.cc/bbs/Stock/M.1766573874.A.172.html,12/24
[新聞] 台積台股收紅過聖誕！記憶體回神 陽明登,6,nisi0773,https://www.ptt.cc/bbs/Stock/M.1766574490.A.A59.html,12/24
Re: [請益] 三大法人買賣超的疑問,2,icehorng,https://www.ptt.cc/bbs/Stock/M.1766575275.A.309.html,12/24
[情報] 2323 中環 買華星光1423張，目前剩363張,1,q1a1,https://www.ptt.cc/bbs/Stock/M.1766578599.A.1AB.html,12/24
[心得] 我在2025當了一回少年股神,99,Lyon718,https://www.ptt.cc/bbs/Stock/M.1766581053.A.92B.html,12/24
[情報] 114年12月24日信用交易統計,23,steward135,https://www.ptt.cc/bbs/Stock/M.1766582244.A.210.html,12/24
[新聞] 三星看準DDR4瘋搶放緩停產　傳伺服器客,18,Cartier,https://www.ptt.cc/bbs/Stock/M.1766583356.A.CB5.html,12/24
[情報] 1224 上市櫃外資投信買超金額排行,3,steveisaman,https://www.ptt.cc/bbs/Stock/M.1766583488.A.43A.html,12/24
[新聞] 中鋼攻精緻鋼品訂五年計畫 董座黃建智：,27,brbear,https://www.ptt.cc/bbs/Stock/M.1766531936.A.D6C.html,12/24
[新聞]金價創新高 黃金、白銀ETF開趴,25,Aliensoul,https://www.ptt.cc/bbs/Stock/M.1766532033.A.F6D.html,12/24
[新聞] 史上首宗！駭客發簡訊給車主「您個資外洩,22,DDDDRR,https://www.ptt.cc/bbs/Stock/M.1766534295.A.09F.html,12/24
[新聞] 台泥、環泥撕破臉　為「廉價水泥」毀掉60,53,DDDDRR,https://www.ptt.cc/bbs/Stock/M.1766535242.A.CAF.html,12/24
[閒聊] 2025/12/24 盤中閒聊,99,laptic,https://www.ptt.cc/bbs/Stock/M.1766536234.A.E1E.html,12/24
Re: [請益] 你是否想過財經大佬的金融知識完全錯誤?,29,s90011,https://www.ptt.cc/bbs/Stock/M.1766536964.A.626.html,12/24
[新聞] 群創FOPLP獲SpaceX大單？董座語帶玄機,48,IzumiKonata,https://www.ptt.cc/bbs/Stock/M.1766537371.A.699.html,12/24
[新聞] 南韓製造業薪資高出台灣26%　13年總體薪,89,Sinreigensou,https://www.ptt.cc/bbs/Stock/M.1766539791.A.D99.html,12/24
[新聞] 台達電HVDC明年H2有望出貨，液冷續看成,7,DAY1986,https://www.ptt.cc/bbs/Stock/M.1766540487.A.9B5.html,12/24
Re: [新聞] 南韓製造業薪資高出台灣26%　13年總體薪,58,deann,https://www.ptt.cc/bbs/Stock/M.1766542142.A.E09.html,12/24
Re: [新聞] 南韓製造業薪資高出台灣26%　13年總體薪,13,johnnygtoo,https://www.ptt.cc/bbs/Stock/M.1766544543.A.D88.html,12/24
Re: [新聞] 南韓製造業薪資高出台灣26%　13年總體薪,4,ysb727,https://www.ptt.cc/bbs/Stock/M.1766545067.A.17A.html,12/24
Re: [請益] 你是否想過財經大佬的金融知識完全錯誤?,11,dahlia7357,https://www.ptt.cc/bbs/Stock/M.1766546585.A.8C9.html,12/24
[標的] 00708L 黃金正二,21,humbler,https://www.ptt.cc/bbs/Stock/M.1766548710.A.C93.html,12/24
Re: [請益] 美股融資已經來到相對高位,40,komeko,https://www.ptt.cc/bbs/Stock/M.1766554680.A.2E9.html,12/24
[閒聊] 2025/12/24 盤後閒聊,42,laptic,https://www.ptt.cc/bbs/Stock/M.1766556043.A.14B.html,12/24
[情報] 1224 上市投信買賣超排行,39,saber50116,https://www.ptt.cc/bbs/Stock/M.1766559253.A.C95.html,12/24
[情報] 114年12月24日 三大法人買賣金額統計表,54,coconing,https://www.ptt.cc/bbs/Stock/M.1766560077.A.409.html,12/24
"[新聞] 透過 SPV 將1,200億美元支出移到表外",14,efbnm753,https://www.ptt.cc/bbs/Stock/M.1766560444.A.E49.html,12/24
[新聞] 電子紙龍頭出手！元太辦供應鏈大會 擴廠,29,burnman,https://www.ptt.cc/bbs/Stock/M.1766561621.A.771.html,12/24
[情報] 系統電 11月eps 0,45,dole562029,https://www.ptt.cc/bbs/Stock/M.1766482617.A.5FB.html,12/23
[新聞] 不再只是都市傳說？亞馬遜一年阻止1800名,6,doozia,https://www.ptt.cc/bbs/Stock/M.1766482704.A.F50.html,12/23
Re: [請益] 有人收到對Opendoor求償的信嗎,24,galeolow,https://www.ptt.cc/bbs/Stock/M.1766482809.A.82A.html,12/23
[情報] 8033 雷虎 達注意標準 11月自結 -0.08,26,q1a1,https://www.ptt.cc/bbs/Stock/M.1766483296.A.FA1.html,12/23
[情報] 8996 高力 達注意標準 11月自結 1.14,12,q1a1,https://www.ptt.cc/bbs/Stock/M.1766483452.A.18E.html,12/23
[新聞] 統一00757成分股換股 新增 Palantir,43,Xration,https://www.ptt.cc/bbs/Stock/M.1766488136.A.E0D.html,12/23
[新聞] 三星旗下子公司15億歐元收購ZF Group駕駛,5,madeinheaven,https://www.ptt.cc/bbs/Stock/M.1766488188.A.330.html,12/23
[新聞]2026恐出大事？投資大咖警告「史詩級崩盤」 美國、日本皆難逃,爆,hvariables,https://www.ptt.cc/bbs/Stock/M.1766492333.A.96D.html,12/23
[情報] 114年12月23日信用交易統計,29,steward135,https://www.ptt.cc/bbs/Stock/M.1766496018.A.8B6.html,12/23
[情報] 1223 上市櫃外資投信買超金額排行,2,steveisaman,https://www.ptt.cc/bbs/Stock/M.1766497977.A.985.html,12/23
[新聞] 美國第三季實質GDP初值成長4.3% 遠超預期,53,AnneofGreen,https://www.ptt.cc/bbs/Stock/M.1766498316.A.F61.html,12/23
[情報] 1223 上市櫃股票週轉率排行,2,steveisaman,https://www.ptt.cc/bbs/Stock/M.1766498495.A.7B4.html,12/23
[新聞] GDP太強降息押注退潮！美債殖利率走高 主,29,humbler,https://www.ptt.cc/bbs/Stock/M.1766502246.A.F7B.html,12/23
[新聞] 美貿易代表署：2027年中將對來自中國晶,14,humbler,https://www.ptt.cc/bbs/Stock/M.1766502711.A.C3D.html,12/23
[新聞] 擊敗中國勁敵! 德國西門子取得越南首條高,55,Su22,https://www.ptt.cc/bbs/Stock/M.1766504905.A.BB1.html,12/23
[請益] 你是否想過財經大佬的金融知識完全錯誤?,37,newbrain,https://www.ptt.cc/bbs/Stock/M.1766505345.A.54F.html,12/23
[標的] 2344 華邦電 股價準備超車富喬多更多,X2,no1shenming,https://www.ptt.cc/bbs/Stock/M.1766506281.A.11F.html,12/24
Re: [請益] 你是否想過財經大佬的金融知識完全錯誤?,15,samuel655200,https://www.ptt.cc/bbs/Stock/M.1766509064.A.C09.html,12/24
[請益] 美國短期國債怎麼買？,67,ce0336ce,https://www.ptt.cc/bbs/Stock/M.1766530306.A.389.html,12/24
Re: [請益] 元大證券美股定期定額整股轉撥費用功能,2,china2025,https://www.ptt.cc/bbs/Stock/M.1766530681.A.193.html,12/24
[標的] ASTS 衛星佈署多,85,mrp,https://www.ptt.cc/bbs/Stock/M.1766465763.A.34B.html,12/23
Re: [心得] 正二年報,11,orz811017,https://www.ptt.cc/bbs/Stock/M.1766466681.A.1C3.html,12/23
[新聞] 巨漢明年在手工程估破百億元，擬赴美布,27,DDDDRR,https://www.ptt.cc/bbs/Stock/M.1766467834.A.958.html,12/23
[閒聊] 2025/12/23 盤後閒聊,27,laptic,https://www.ptt.cc/bbs/Stock/M.1766469608.A.899.html,12/23
[情報] 1223 上市投信買賣超排行,29,saber50116,https://www.ptt.cc/bbs/Stock/M.1766473362.A.3D2.html,12/23
Re: [新聞]快訊／黃金存摺飆4472元天價35公克抱1年賺,0,KINMENKING,https://www.ptt.cc/bbs/Stock/M.1766473534.A.CB4.html,12/23
[情報] 南亞科 富時相關指數延到12/30 納入刪除,37,q8977452,https://www.ptt.cc/bbs/Stock/M.1766473814.A.915.html,12/23
[情報] 114年12月23日 三大法人買賣金額統計表,43,coconing,https://www.ptt.cc/bbs/Stock/M.1766474617.A.140.html,12/23
[請益] 有人玩polymarket嗎??有心得嗎?,25,magic543,https://www.ptt.cc/bbs/Stock/M.1766474798.A.E5C.html,12/23
[情報] 1223 上市外資買賣超排行,45,saber50116,https://www.ptt.cc/bbs/Stock/M.1766477606.A.066.html,12/23
Re: [請益] 有人玩polymarket嗎??有心得嗎?,5,betforfood,https://www.ptt.cc/bbs/Stock/M.1766477634.A.C18.html,12/23
Re: [新聞] 0050股民首度衝破200萬人　刷台股ETF新紀,36,attempt,https://www.ptt.cc/bbs/Stock/M.1766477661.A.FF7.html,12/23
[新聞] 鴻華先進收購納智捷！ 外資喊鴻海「上看,29,brbear,https://www.ptt.cc/bbs/Stock/M.1766477873.A.473.html,12/23
Re: [新聞] 裕隆7.8億元出售納智捷、股價重挫跌停 鴻,3,XFight,https://www.ptt.cc/bbs/Stock/M.1766478240.A.922.html,12/23
[新聞] 陽明法說》明年首季貨量能見度較高 暫不,9,burlroof,https://www.ptt.cc/bbs/Stock/M.1766479169.A.D01.html,12/23
[情報] 6770 力積電 達注意標準 11月eps:-0.06,爆,q8977452,https://www.ptt.cc/bbs/Stock/M.1766479917.A.B55.html,12/23
[新聞] OpenAI 利潤率飆 ChatGPT 不再只會燒錢,56,rz2x,https://www.ptt.cc/bbs/Stock/M.1766480978.A.FE2.html,12/23
[新聞] 台股跟著美股衝！00990A 居主動式ETF漲幅,6,Andy1905,https://www.ptt.cc/bbs/Stock/M.1766481246.A.20B.html,12/23
[請益] 有人收到對Opendoor求償的信嗎,1,itsjustagame,https://www.ptt.cc/bbs/Stock/M.1766482391.A.E55.html,12/23
[新聞] AI牛市還沒完？阮慕驊點名2026必買2飆股,0,MeiHS,https://www.ptt.cc/bbs/Stock/M.1766417542.A.944.html,12/22
[請益] 日本股市跟ewjetf的關聯,3,nata12,https://www.ptt.cc/bbs/Stock/M.1766419256.A.5DF.html,12/23
[新聞]快訊／黃金存摺飆4472元天價35公克抱1年賺,32,Aliensoul,https://www.ptt.cc/bbs/Stock/M.1766422808.A.4FE.html,12/23
[新聞] SpaceX太空夢點火股價 元晶一飛衝天！,25,Roger5566,https://www.ptt.cc/bbs/Stock/M.1766426530.A.6A5.html,12/23
Re: [新聞] 明年春節前出貨？輝達AI晶片H200中國銷售,13,outofsurvive,https://www.ptt.cc/bbs/Stock/M.1766448388.A.B8D.html,12/23
[閒聊] 2025/12/23 盤中閒聊,99,laptic,https://www.ptt.cc/bbs/Stock/M.1766449802.A.A92.html,12/23
[新聞] 謝金河：AI賽道上4個台廠贏家勝出,62,qwert1122,https://www.ptt.cc/bbs/Stock/M.1766451262.A.6DC.html,12/23
[新聞] 美媒：台積電帶動「矽沙漠」經濟　豪宅,32,brbear,https://www.ptt.cc/bbs/Stock/M.1766451936.A.13D.html,12/23
[請益] 記憶體漲價 主機板御三家會很慘嗎?,34,logen,https://www.ptt.cc/bbs/Stock/M.1766453702.A.D61.html,12/23
[新聞] 英特爾麻煩大了 18A效能慘輸台積3奈米,84,hyscout,https://www.ptt.cc/bbs/Stock/M.1766454937.A.0C7.html,12/23
[標的] 6111大宇資 超級低檔.母以子貴 起飆多,8,zxcdol65165,https://www.ptt.cc/bbs/Stock/M.1766455873.A.B90.html,12/23
[標的] 請問各位0050大神，階段資金配置,52,aaooccddex,https://www.ptt.cc/bbs/Stock/M.1766456959.A.EA8.html,12/23
[標的] 3227 原相 中長多,15,kevin10449,https://www.ptt.cc/bbs/Stock/M.1766457784.A.CEF.html,12/23
[新聞] 獨家｜張文筆電硬碟破解卡關！電競SSD遭4,92,DDDDRR,https://www.ptt.cc/bbs/Stock/M.1766457935.A.23A.html,12/23
[新聞] 為 AI 所需運算與電力容量！Alphabet 砸,12,buyaowen,https://www.ptt.cc/bbs/Stock/M.1766458561.A.506.html,12/23
[新聞] 大摩喊上1888元！台積電最新目標價到得了,39,dkpaul,https://www.ptt.cc/bbs/Stock/M.1766459135.A.910.html,12/23
[心得] 正二年報,爆,tpta45855,https://www.ptt.cc/bbs/Stock/M.1766459710.A.F28.html,12/23
Re: [標的] 1785 光洋科 多,19,s91156,https://www.ptt.cc/bbs/Stock/M.1766460584.A.79A.html,12/23
Re: [心得] 正二年報,30,CleanSpurs,https://www.ptt.cc/bbs/Stock/M.1766462167.A.C69.html,12/23
Re: [標的] 請問各位0050大神，階段資金配置,34,poweryeh,https://www.ptt.cc/bbs/Stock/M.1766462762.A.141.html,12/23
Re: [心得] 20年投資0050正二,34,badguy227,https://www.ptt.cc/bbs/Stock/M.1766389014.A.364.html,12/22
[情報] 1222 上市外資買賣超排行,79,saber50116,https://www.ptt.cc/bbs/Stock/M.1766390929.A.160.html,12/22
[情報] 6788 華景電 達注意標準 11月自結 1.90,16,q1a1,https://www.ptt.cc/bbs/Stock/M.1766391939.A.890.html,12/22
[新聞] 華義法說會／取得三國題材手遊代理,44,babyknow,https://www.ptt.cc/bbs/Stock/M.1766395973.A.4F8.html,12/22
[新聞] 陸鋼品出口管制將上路 中鋼、中鴻、燁輝,5,brbear,https://www.ptt.cc/bbs/Stock/M.1766399811.A.0C7.html,12/22
[新聞] 華星光法說會 2026年800G 成為主流,5,keroro0213,https://www.ptt.cc/bbs/Stock/M.1766401726.A.8B9.html,12/22
[新聞] 失業率連3降轉好？學者示警：數據未必反,9,burlroof,https://www.ptt.cc/bbs/Stock/M.1766401894.A.F4B.html,12/22
[新聞] 0050股民首度衝破200萬人　刷台股ETF新紀,73,nisi0773,https://www.ptt.cc/bbs/Stock/M.1766401967.A.312.html,12/22
[新聞] SpaceX擬上市阿克曼拋大膽方案　用「SPAR,13,Karida,https://www.ptt.cc/bbs/Stock/M.1766403588.A.6D9.html,12/22
[新聞] 裕隆7.8億元出售納智捷、股價重挫跌停 鴻,36,nisi0773,https://www.ptt.cc/bbs/Stock/M.1766404729.A.618.html,12/22
[情報] 114年12月22日信用交易統計,29,steward135,https://www.ptt.cc/bbs/Stock/M.1766408165.A.150.html,12/22
[情報] 1222 上市櫃外資投信買超金額排行,7,steveisaman,https://www.ptt.cc/bbs/Stock/M.1766410334.A.DE4.html,12/22
[新聞] 美媒曝英特爾18A唯一重要客戶是自己,32,DrowningPool,https://www.ptt.cc/bbs/Stock/M.1766411931.A.A5D.html,12/22
[情報] 1222 上市櫃股票週轉率排行,0,steveisaman,https://www.ptt.cc/bbs/Stock/M.1766412376.A.A24.html,12/22
[新聞] 明年春節前出貨？輝達AI晶片H200中國銷售,15,strlen,https://www.ptt.cc/bbs/Stock/M.1766412434.A.8FC.html,12/22
Re: [標的] Planet Lab 衛星不怕關稅多多多,78,mrp,https://www.ptt.cc/bbs/Stock/M.1766414194.A.D9D.html,12/22
Re: [心得] 股市新手半年心得,70,x0321j,https://www.ptt.cc/bbs/Stock/M.1766416038.A.54B.html,12/22
[新聞] 中國複製ASML的曝光機只是模型？專家解密,66,Su22,https://www.ptt.cc/bbs/Stock/M.1766417235.A.591.html,12/22
[新聞] 摩爾定律 50 年，暢談地緣政治、技術與人,10,Su22,https://www.ptt.cc/bbs/Stock/M.1766332397.A.6F8.html,12/21
[新聞] 記憶體荒有解？傳海力士、三星啟動擴產,37,BEC5566,https://www.ptt.cc/bbs/Stock/M.1766335485.A.576.html,12/22
[新聞] 「大賣空」本尊貝瑞：美國 AI 發展押寶 N,87,pmes9866,https://www.ptt.cc/bbs/Stock/M.1766338319.A.E6D.html,12/22
Re: [請益] 跟中國機器人相比tesla的優勢是？,8,yumumu,https://www.ptt.cc/bbs/Stock/M.1766345718.A.1E2.html,12/22
[新聞] 洛克希德馬丁遭摩根大通降評！「這3檔」,10,brbear,https://www.ptt.cc/bbs/Stock/M.1766358208.A.6DE.html,12/22
[閒聊] 2025/12/22 盤中閒聊,99,laptic,https://www.ptt.cc/bbs/Stock/M.1766363402.A.D43.html,12/22
[新聞] 記憶體大缺貨搶產能　傳美光也敲門力積電,91,sayforever69,https://www.ptt.cc/bbs/Stock/M.1766365127.A.0F4.html,12/22
Re: [新聞] 大賣空貝瑞再發聲：OpenAI 是下一個網景,26,zzahoward,https://www.ptt.cc/bbs/Stock/M.1766365441.A.032.html,12/22
Re: [新聞] 「大賣空」本尊貝瑞：美國 AI 發展押寶 N,7,wahaha99,https://www.ptt.cc/bbs/Stock/M.1766367769.A.2A2.html,12/22
[新聞]台積電熊本二廠因應 AI客戶需求!規劃跳過4,69,coffee112,https://www.ptt.cc/bbs/Stock/M.1766371958.A.8EA.html,12/22
[新聞] 沒有輝達！《大賣空》原型示警AI泡沫：這,36,ctfjuw,https://www.ptt.cc/bbs/Stock/M.1766373991.A.378.html,12/22
[新聞] UG 董座北車「致意」爭議燒到資本市場 母,92,ChanHoPark,https://www.ptt.cc/bbs/Stock/M.1766375205.A.013.html,12/22
[閒聊] 2025/12/22 盤後閒聊,62,laptic,https://www.ptt.cc/bbs/Stock/M.1766383210.A.BCE.html,12/22
Re: [標的] 2404.TW 漢唐,13,ShortestPath,https://www.ptt.cc/bbs/Stock/M.1766383569.A.50C.html,12/22
Re: [新聞] 鴻華先進斥資7.8億元　收購納智捷品牌全,15,israelii,https://www.ptt.cc/bbs/Stock/M.1766386052.A.239.html,12/22
[情報] 1222 上市投信買賣超排行,31,saber50116,https://www.ptt.cc/bbs/Stock/M.1766386623.A.3FA.html,12/22
[請益] 好像今年貴金屬挺好賺的？,30,sdhws,https://www.ptt.cc/bbs/Stock/M.1766387126.A.56B.html,12/22
[情報] 114年12月22日 三大法人買賣金額統計表,75,coconing,https://www.ptt.cc/bbs/Stock/M.1766387494.A.467.html,12/22
Re: [請益] 跟中國機器人相比tesla的優勢是？,3,wangrg,https://www.ptt.cc/bbs/Stock/M.1766305609.A.930.html,12/21
[新聞] 蔡正元揭台美將簽對等關稅15%協議 立院若,11,zkow,https://www.ptt.cc/bbs/Stock/M.1766306529.A.CA3.html,12/21
Re: [心得] 槓桿只是加速作對獲利以及作錯虧損的速度,2,ksjeff0928,https://www.ptt.cc/bbs/Stock/M.1766310345.A.AAF.html,12/21
Re: [請益] 跟中國機器人相比tesla的優勢是？,13,ilw4e,https://www.ptt.cc/bbs/Stock/M.1766310430.A.5B7.html,12/21
[新聞] 巴菲特接班人阿貝爾遭華爾街警告：不要試,18,nisi0773,https://www.ptt.cc/bbs/Stock/M.1766313503.A.544.html,12/21
Re: [請益] 跟中國機器人相比tesla的優勢是？,20,gn02118620,https://www.ptt.cc/bbs/Stock/M.1766318275.A.39A.html,12/21
[請益] 交易量 這個指標該如何正確判讀,38,westwestman,https://www.ptt.cc/bbs/Stock/M.1766318707.A.B9A.html,12/21
Re: [請益] 交易量 這個指標該如何正確判讀,3,DarkerWu,https://www.ptt.cc/bbs/Stock/M.1766320049.A.9D3.html,12/21
[新聞] 華爾街大多頭看「2026年十大科技預測」,8,sam20135,https://www.ptt.cc/bbs/Stock/M.1766322447.A.B04.html,12/21
Re: [請益] 跟中國機器人相比tesla的優勢是？,30,bobokeke,https://www.ptt.cc/bbs/Stock/M.1766322723.A.7C0.html,12/21
[請益] 你今年跑贏標普跟那指了嗎?,65,newbrain,https://www.ptt.cc/bbs/Stock/M.1766326192.A.818.html,12/21
[新聞] IET-KY董事勝創科技申報轉讓股票780張,8,Careerist,https://www.ptt.cc/bbs/Stock/M.1766326564.A.C23.html,12/21
[心得] 截至12/21美股七巨頭Ytd,16,mush24,https://www.ptt.cc/bbs/Stock/M.1766326854.A.CE8.html,12/21
Re: [請益] 跟中國機器人相比tesla的優勢是？,0,magic543,https://www.ptt.cc/bbs/Stock/M.1766327393.A.717.html,12/21
Re: [請益] 跟中國機器人相比tesla的優勢是？,11,shiauber,https://www.ptt.cc/bbs/Stock/M.1766327850.A.0BB.html,12/21
[新聞] UG TEA被炎上！哀悼恐攻送飲料「喬角度秀,38,DrowningPool,https://www.ptt.cc/bbs/Stock/M.1766328289.A.9D7.html,12/21
Re: [請益] 跟中國機器人相比tesla的優勢是？,8,wokao269,https://www.ptt.cc/bbs/Stock/M.1766328812.A.76A.html,12/21
[新聞] 街頭變停車場！舊金山大停電引發 Waymo,44,strlen,https://www.ptt.cc/bbs/Stock/M.1766330653.A.FD1.html,12/21
[標的] 台股 衛星族群題材多,36,VTpig,https://www.ptt.cc/bbs/Stock/M.1766331285.A.A2D.html,12/21
Re: [心得] 20年投資0050正二,7,YAYA6655,https://www.ptt.cc/bbs/Stock/M.1766209828.A.FF3.html,12/20
Re: [心得] 尋找正二的交易聖杯,6,YAYA6655,https://www.ptt.cc/bbs/Stock/M.1766210133.A.77F.html,12/20
